Day,Sensor_ID,Hourly_Counts,sensor_description,latitude,longitude,location
Tuesday,40,122.0,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
Wednesday,40,131.0,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
Friday,41,852.0,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)"
Monday,41,711.0,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)"
Saturday,41,786.0,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)"
Sunday,41,641.0,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)"
Thursday,41,803.0,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)"
Tuesday,41,742.0,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)"
Wednesday,41,802.0,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)"
Friday,42,94.0,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
Monday,42,96.0,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
Saturday,42,46.0,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
Sunday,42,43.0,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
Thursday,42,97.0,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
Tuesday,42,96.0,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
Wednesday,42,104.0,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
Friday,43,60.0,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
Monday,43,68.0,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
Saturday,43,30.0,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
