"Counting","INCP Total Personal Income (weekly)","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Higgins",9144
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Kooyong",8979
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Menzies",9961
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Chisholm",10217
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Deakin",11043
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Goldstein",8090
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Hotham",13142
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Isaacs",10218
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Jagajaga",9941
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Scullin",11699
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Gorton",11236
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Calwell",9729
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Aston",11586
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","La Trobe",9021
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Bruce",13103
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Holt",12271
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Fraser",11951
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Lalor",11672
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","No usual address (Vic.)",361
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Total",404214
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Casey",11322
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Dunkley",11292
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Gellibrand",11347
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Nicholls",9833
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Indi",9846
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Corio",9755
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Corangamite",8012
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","McEwen",9128
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Monash",7388
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Bendigo",8920
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Wannon",9675
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Mallee",9621
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Hawke",10050
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Ballarat",8888
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Gippsland",8451
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Flinders",9168
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Wills",11010
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Melbourne",13414
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Cooper",10734
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Maribyrnong",10531
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Macnamara",12557
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Higgins",11226
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Kooyong",10381
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Menzies",10369
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Chisholm",11085
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Deakin",11735
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Goldstein",8960
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Hotham",12093
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Isaacs",10871
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Jagajaga",10733
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Scullin",11093
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Gorton",11120
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Calwell",8709
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Aston",11920
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","La Trobe",9076
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Bruce",12297
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Holt",11486
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Fraser",11280
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Lalor",11357
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$1,000-$1,249 ($52,000-$64,999)","No usual address (Vic.)",333
