"Counting","AGEP Age","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","11","Hawke",1815
"Persons Place of Usual Residence","11","Ballarat",1693
"Persons Place of Usual Residence","11","Gippsland",1605
"Persons Place of Usual Residence","11","Flinders",1606
"Persons Place of Usual Residence","11","Wills",1313
"Persons Place of Usual Residence","11","Melbourne",802
"Persons Place of Usual Residence","11","Cooper",1444
"Persons Place of Usual Residence","11","Maribyrnong",1564
"Persons Place of Usual Residence","11","Macnamara",1044
"Persons Place of Usual Residence","11","Higgins",1413
"Persons Place of Usual Residence","11","Kooyong",2184
"Persons Place of Usual Residence","11","Menzies",1824
"Persons Place of Usual Residence","11","Chisholm",1950
"Persons Place of Usual Residence","11","Deakin",1792
"Persons Place of Usual Residence","11","Goldstein",2017
"Persons Place of Usual Residence","11","Hotham",1855
"Persons Place of Usual Residence","11","Isaacs",1709
"Persons Place of Usual Residence","11","Jagajaga",1787
"Persons Place of Usual Residence","11","Scullin",1823
"Persons Place of Usual Residence","11","Gorton",2260
"Persons Place of Usual Residence","11","Calwell",2113
"Persons Place of Usual Residence","11","Aston",1768
"Persons Place of Usual Residence","11","La Trobe",1810
"Persons Place of Usual Residence","11","Bruce",2142
"Persons Place of Usual Residence","11","Holt",2142
"Persons Place of Usual Residence","11","Fraser",1586
"Persons Place of Usual Residence","11","Lalor",2018
"Persons Place of Usual Residence","11","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","11","No usual address (Vic.)",38
"Persons Place of Usual Residence","11","Total",68114
"Persons Place of Usual Residence","12","Casey",1949
"Persons Place of Usual Residence","12","Dunkley",1816
"Persons Place of Usual Residence","12","Gellibrand",1809
"Persons Place of Usual Residence","12","Nicholls",1846
"Persons Place of Usual Residence","12","Indi",1789
"Persons Place of Usual Residence","12","Corio",1713
"Persons Place of Usual Residence","12","Corangamite",1480
"Persons Place of Usual Residence","12","McEwen",1886
"Persons Place of Usual Residence","12","Monash",1506
"Persons Place of Usual Residence","12","Bendigo",1614
"Persons Place of Usual Residence","12","Wannon",1825
"Persons Place of Usual Residence","12","Mallee",1893
"Persons Place of Usual Residence","12","Hawke",1838
"Persons Place of Usual Residence","12","Ballarat",1728
"Persons Place of Usual Residence","12","Gippsland",1663
"Persons Place of Usual Residence","12","Flinders",1579
"Persons Place of Usual Residence","12","Wills",1301
"Persons Place of Usual Residence","12","Melbourne",743
"Persons Place of Usual Residence","12","Cooper",1467
"Persons Place of Usual Residence","12","Maribyrnong",1457
"Persons Place of Usual Residence","12","Macnamara",1029
"Persons Place of Usual Residence","12","Higgins",1351
"Persons Place of Usual Residence","12","Kooyong",2053
"Persons Place of Usual Residence","12","Menzies",1935
"Persons Place of Usual Residence","12","Chisholm",2053
"Persons Place of Usual Residence","12","Deakin",1913
"Persons Place of Usual Residence","12","Goldstein",2059
"Persons Place of Usual Residence","12","Hotham",1933
"Persons Place of Usual Residence","12","Isaacs",1755
"Persons Place of Usual Residence","12","Jagajaga",1758
"Persons Place of Usual Residence","12","Scullin",1905
"Persons Place of Usual Residence","12","Gorton",2203
"Persons Place of Usual Residence","12","Calwell",2068
"Persons Place of Usual Residence","12","Aston",1699
"Persons Place of Usual Residence","12","La Trobe",1726
"Persons Place of Usual Residence","12","Bruce",2176
"Persons Place of Usual Residence","12","Holt",2052
"Persons Place of Usual Residence","12","Fraser",1641
"Persons Place of Usual Residence","12","Lalor",1955
"Persons Place of Usual Residence","12","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","12","No usual address (Vic.)",16
"Persons Place of Usual Residence","12","Total",68187
"Persons Place of Usual Residence","13","Casey",1909
"Persons Place of Usual Residence","13","Dunkley",1736
"Persons Place of Usual Residence","13","Gellibrand",1706
"Persons Place of Usual Residence","13","Nicholls",1874
"Persons Place of Usual Residence","13","Indi",1743
"Persons Place of Usual Residence","13","Corio",1739
"Persons Place of Usual Residence","13","Corangamite",1458
"Persons Place of Usual Residence","13","McEwen",1834
"Persons Place of Usual Residence","13","Monash",1494
"Persons Place of Usual Residence","13","Bendigo",1634
"Persons Place of Usual Residence","13","Wannon",1789
"Persons Place of Usual Residence","13","Mallee",1900
